papel,tipo,empresa,setor,sub_setor,valor_de_mercado,valor_da_firma,ultimo_balanco,numero_de_acoes,ultima_cotacao,pl,p_vp,psr,div_yeld,p_ativo,p_cap_giro,p_ebit,p_ativo_circ_liq,ev_ebit,ev_ebitda,mrg_ebit,mrg_liq,liq_corr,roic,roe,liq_2_meses,patrim_liq,div_brut_patrim,cresc_rec_5a
VSPT4,PN,FERROVIA CENTRO-ATLÂNTICA S.A. PN,Transporte,Transporte Ferroviário,0,-,30/06/2020,125.446.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,62%","0,00","4.736.050.000,00","0,00","438,95%"
VSPT3,ON,FERROVIA CENTRO-ATLÂNTICA S.A. ON,Transporte,Transporte Ferroviário,0,-,30/06/2020,125.446.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,62%","0,00","4.736.050.000,00","0,00","438,95%"
VNET3,ON NM,CIELO ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,0,-,30/06/2020,2.716.820.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","7,61%","0,00","9.145.920.000,00","0,00","-5,18%"
CFLU4,PN,COCA COLA PN,,,0,-,30/09/2005,0,"1.000,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,88%","10,72%","1,10","17,68%","32,15%","0,00","60.351.000,00","0,06","8,14%"
CLAN3,ON,CLARION ON,Alimentos,Grãos e Derivados,0,-,31/12/2012,158.703.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-1,05%","0,00","1.012.240.000,00","0,00","-63,96%"
CLSC6,PNB N2,CELESC PNB N2,Energia Elétrica,Energia Elétrica,0,-,30/06/2020,38.572.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","22,90%","0,00","1.611.840.000,00","0,00","7,54%"
CSTB3,ON,COMPANHIA SIDERÚRGICA DE TUBARÃO ON,,,0,-,30/09/2005,0,"150,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
CSTB4,PN,COMPANHIA SIDERÚRGICA DE TUBARÃO PN,,,0,-,30/09/2005,0,"147,69","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
IVTT3,ON NM,BHG ON NM,Exploração de Imóveis,Exploração de Imóveis,0,-,31/03/2015,62.141.400,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-0,40%","0,00","1.083.050.000,00","0,00","20,67%"
MNSA3,ON,MANASA ON,,,0,-,31/12/2005,0,"0,42","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
MNSA4,PN,MANASA PN,,,0,-,31/12/2005,0,"0,47","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
ODER3,ON,CONSERVAS ODERICH SA ON,,,0,-,30/06/2020,11.287.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,07%","0,00","220.989.000,00","0,00","5,60%"
ODER4,PN,CONSERVAS ODERICH SA PN,,,0,-,30/06/2020,11.287.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,07%","0,00","220.989.000,00","0,00","5,60%"
PMET3,ON,PRO METALURG ON,Viagens e Lazer,Bicicletas,0,-,31/12/2013,72.410.000.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","4,10%","0,00","-290.863.000,00","0,00","37,74%"
POPR4,PN,POLIPROPILENO S.A. PN,,,0,-,30/09/2005,0,"10,17","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,66%","5,65%","1,08","15,25%","19,93%","0,00","545.803.000,00","0,82","30,93%"
PORP4,PN,POLIPROPILENO PARTICIPAÇÕES S.A. PN,,,0,-,30/09/2005,0,"2,40","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,08%","0,00","22.399.000,00","0,00","13,66%"
OMGE3,ON NM,OMEGA GER ON NM,Energia Elétrica,Energia Elétrica,7.060.850.000,10.771.800.000,30/06/2020,195.754.000,"36,07","-958,05","2,58","6,991","0,00%","0,921","12,12","21,94","-1,80","33,47","19,39","31,86%","-0,13%","2,47","4,67%","-0,27%","39.524.600,00","2.731.860.000,00","1,61","65,36%"
STBP3,ON NM,SBPAR ON NM,Transporte,Serviços de Apoio e Armazenagem,3.708.660.000,3.792.660.000,30/06/2020,862.478.000,"4,30","-819,05","2,80","3,992","0,32%","1,139","13,43","97,90","-2,66","100,12","21,09","4,08%","-0,49%","2,06","1,33%","-0,34%","26.126.400,00","1.324.970.000,00","0,33","3,60%"
PLDN4,PN,POLIALDEN PN,,,313.593.000,137.433.000,31/03/2006,645.253.000,"486,00","-553,07","1,08","0,919","0,00%","0,611","1,07","-75,56","3,10","-33,12","-33,12","-1,22%","-0,17%","10,81","-1,27%","-0,20%","0,00","289.939.000,00","0,01","10,26%"
STBP11,UNT,SBPAR UNT,Transporte,Serviços de Apoio e Armazenagem,2.483.940.000,2.567.940.000,30/06/2020,862.478.000,"14,40","-548,57","1,87","2,673","0,00%","0,763","9,00","65,57","-1,78","67,79","14,28","4,08%","-0,49%","2,06","1,33%","-0,34%","0,00","1.324.970.000,00","0,33","3,60%"
GFSA3,ON,GAFISA ON,Construção e Engenharia,Construção Civil,1.285.040.000,1.388.530.000,30/06/2020,290.732.000,"4,42","-350,05","1,09","3,561","0,00%","0,455","1,45","33,09","3,12","35,75","28,60","10,76%","-1,15%","1,76","1,83%","-0,31%","26.734.600,00","1.175.850.000,00","0,57","-24,38%"
LCSA4,PN,NÃO CONSTA PN,Alimentos,Laticínios,86.084.700.000,86.215.300.000,30/09/2009,2.453.260.000,"35,09","-337,52","-228,00","79,738","0,00%","125,308","-202,27","-505,80","-96,61","-506,56","-506,56","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%"
BHGR3,ON NM,BHG ON NM,Exploração de Imóveis,Exploração de Imóveis,1.186.900.000,1.299.550.000,31/03/2015,62.141.400,"19,10","-272,16","1,10","3,613","0,00%","0,855","-194,45","23,70","-8,56","25,95","14,20","15,24%","-1,31%","0,96","3,93%","-0,40%","0,00","1.077.600.000,00","0,20","20,67%"
MAPT3,ON,CIA MARCOPOLO ON,Outros,Outros,45.959.200,45.959.200,30/06/2020,919.000,"50,01","-261,13","-8,06","0,000","0,00%","59,456","0,00","-298,44","0,00","-298,44","-298,44","0,00%","0,00%","0,00","0,00%","3,09%","116,30","-5.702.000,00","0,00","0,00%"
RJCP3,ON,RJCP EQUITY ON,Financeiros,Outros Intermediários Financeiros,11.210.700,11.232.600,31/12/2015,1.121.070.000,"0,01","-224,70","0,65","0,000","0,00%","0,619","0,00","-522,94","0,00","-523,96","-917,32","0,00%","0,00%","0,00","0,00%","-0,29%","0,00","17.287.200,00","0,00","0,00%"
ABYA3,ON NM,ABYARA ON NM,Construção e Engenharia,Construção Civil,515.088.000,868.691.000,31/03/2010,104.906.000,"4,91","-214,80","1,76","2,055","0,00%","0,527","1,98","19,96","-2,75","33,67","33,67","10,29%","-0,96%","2,09","2,78%","-0,82%","0,00","292.060.000,00","1,31","16,41%"
BTOW3,ON,B2W - COMPANHIA GLOBAL DO VAREJO ON,Comércio,Produtos Diversos,48.520.200.000,48.710.400.000,30/06/2020,559.633.000,"86,70","-207,36","8,71","5,963","0,00%","2,950","9,53","210,43","-41,23","211,26","61,20","2,83%","-2,88%","2,10","3,37%","-4,20%","315.103.000,00","5.570.280.000,00","1,22","-3,60%"
MAPT4,PN,CIA MARCOPOLO PN,Outros,Outros,36.438.400,36.438.400,30/06/2020,919.000,"39,65","-207,04","-6,39","0,000","0,00%","47,139","0,00","-236,61","0,00","-236,61","-236,61","0,00%","0,00%","0,00","0,00%","3,09%","65.882,50","-5.702.000,00","0,00","0,00%"
PITI4,PN,"AV. DR CHUCRI ZAIDAN, 920 - 16§ ANDAR PN",Telefonia Fixa,Telefonia Fixa,2.969.990.000,2.969.990.000,30/09/2014,2.320.310.000,"1,28","-204,74","0,00","0,000","0,00%","0,000","0,00","-2.637,65","0,00","-2.637,65","111,07","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","-29,63%"
DASA3,ON,DIAGNOSTICOS DA AMERICA SA ON,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos",26.925.600.000,30.099.100.000,30/06/2020,480.814.000,"56,00","-135,82","6,95","5,400","0,66%","2,180","18,24","542,57","-5,64","606,52","45,72","1,00%","-3,91%","1,66","0,49%","-5,12%","37.608,70","3.872.410.000,00","1,27","14,33%"
LCSA3,ON,NÃO CONSTA ON,Alimentos,Laticínios,30.665.700.000,30.796.200.000,30/09/2009,2.453.260.000,"12,50","-120,23","-81,22","28,405","0,00%","44,638","-72,05","-180,18","-34,41","-180,95","-180,95","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%"
MAGG3,ON,MAGNESITA REFRATÁRIOS ON,Materiais Diversos,Materiais Diversos,2.972.380.000,4.683.630.000,30/09/2018,50.040.000,"59,40","-119,98","1,32","0,684","0,00%","0,440","9,32","4,07","-1,55","6,41","5,34","16,82%","-0,57%","1,14","14,05%","-1,10%","0,00","2.246.130.000,00","1,03","9,27%"
IDVL11,UNT N1,Indusval UNT N1,Financeiros,Bancos,14.395.100.000,-,30/06/2020,102.822.000,"140,00","-116,08","57,28","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-49,34%","0,00","251.321.000,00","0,00","0,00%"
PTNT3,ON,PETTENATI ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,240.232.000,354.758.000,30/06/2020,48.046.500,"5,00","-110,04","0,98","0,507","1,45%","0,343","3,82","-81,17","-3,54","-119,87","13,39","-0,62%","0,85%","1,24","-0,55%","-0,89%","83.982,70","246.024.000,00","0,95","-0,33%"
PTNT4,PN,PETTENATI PN,"Tecidos, Vestuário e Calçados",Fios e Tecidos,225.818.000,340.344.000,30/06/2020,48.046.500,"4,70","-103,44","0,92","0,477","1,55%","0,322","3,59","-76,30","-3,32","-115,00","12,85","-0,62%","0,85%","1,24","-0,55%","-0,89%","140.379,00","246.024.000,00","0,95","-0,33%"
RDNI3,ON NM,RNI ON NM,Construção e Engenharia,Construção Civil,443.390.000,813.278.000,30/06/2020,43.770.000,"10,13","-103,35","0,74","1,290","0,09%","0,284","1,61","21,34","-1,35","39,14","31,86","6,04%","-0,92%","1,79","1,44%","-0,71%","376.017,00","603.221.000,00","0,76","-9,11%"
APER3,ON,ALPER S.A. ON,Previdência e Seguros,Corretoras de Seguros,332.920.000,257.017.000,30/06/2020,11.480.000,"29,00","-94,69","1,89","3,524","0,18%","1,277","5,27","-105,96","19,60","-81,80","84,71","-3,33%","-3,72%","2,63","-1,76%","-2,00%","905.780,00","175.788.000,00","0,00","-12,22%"
BNCA3,ON,NOSSA CAIXA-NOSSO BANCO ON,Financeiros,Bancos,7.524.630.000,-,30/09/2009,107.036.000,"70,30","-90,30","2,45","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,72%","0,00","3.068.150.000,00","0,00","2,41%"
TELB3,ON,TELEBRAS ON,Telecomunicações,Telecomunicações,5.422.410.000,4.842.830.000,30/06/2020,67.865.000,"79,90","-85,69","3,38","21,993","0,00%","1,269","5,53","-20,03","-3,78","-17,89","-60,97","-109,80%","-25,67%","4,88","-8,13%","-3,94%","136.231,00","1.606.030.000,00","0,18","27,57%"
ANIM3,ON NM,ANIMA ON NM,Diversos,Educacional,3.221.160.000,3.627.330.000,30/06/2020,107.623.000,"29,93","-79,28","1,95","2,461","0,00%","0,935","3,46","18,12","-6,76","20,40","11,57","13,58%","-3,07%","3,44","6,82%","-2,45%","19.157.600,00","1.655.070.000,00","0,72","9,10%"
CEAB3,ON NM,CEA MODAS ON NM,Comércio,"Tecidos, Vestuário e Calçados",3.976.360.000,5.627.770.000,30/06/2020,308.245.000,"12,90","-75,51","1,54","0,937","0,01%","0,612","2,98","74,37","-3,62","105,26","10,19","1,26%","-1,24%","1,90","1,11%","-2,04%","32.230.500,00","2.578.030.000,00","1,13","0,00%"
AMIL3,ON NM,AMIL ON NM,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos",11.809.200.000,11.984.900.000,31/12/2012,366.746.000,"32,20","-73,28","7,70","1,129","0,00%","2,003","-16,95","136,58","-5,43","138,61","50,13","0,83%","-1,53%","0,75","2,22%","-10,51%","0,00","1.532.980.000,00","1,24","28,47%"
RANI4,PN,CELULOSE IRANI PN,Madeira e Papel,Papel e Celulose,1.861.220.000,2.539.890.000,30/06/2020,256.720.000,"7,25","-68,50","5,03","2,068","0,41%","1,186","16,39","12,31","-2,68","16,80","9,48","16,79%","-3,02%","1,29","10,94%","-7,35%","197.611,00","369.771.000,00","2,13","4,98%"
BRTP3,ON N1,BRASIL TELECOM PARTICIPAÇÕES S.A. ON N1,Telefonia Fixa,Telefonia Fixa,12.997.300.000,16.272.300.000,30/06/2009,363.969.000,"35,71","-67,26","2,45","1,168","0,00%","0,684","8,98","6,03","-2,40","7,55","7,55","19,37%","-2,96%","1,29","13,41%","-3,64%","0,00","5.302.340.000,00","0,91","3,66%"
NTCO3,ON NM,GRUPO NATURA ON NM,Prods. de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,68.503.400.000,81.779.200.000,30/06/2020,1.375.020.000,"49,82","-65,00","2,95","2,366","0,00%","1,121","16,31","38,35","-3,30","45,78","45,78","6,17%","-3,67%","1,33","3,72%","-4,53%","375.819.000,00","23.245.600.000,00","0,89","0,00%"
BBTG12,DR3 B,BTG PACTUAL DR3 B,Financeiros,Gestão de Recursos e Investimentos,8.866.200,-,30/06/2020,2.814.670,"3,15","-58,33","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
PEFX3,ON,PETROFLEX INDÚSTRIA E COMÉRCIO S.A ON,Químicos ,Petroquímicos,668.610.000,767.002.000,30/06/2008,35.190.000,"19,00","-52,04","1,68","0,477","0,00%","0,597","20,34","5,75","-3,18","6,59","0,00","8,30%","-0,92%","1,07","11,77%","-3,24%","0,00","396.955.000,00","0,31","4,36%"
PEFX5,PNA,PETROFLEX INDÚSTRIA E COMÉRCIO S.A PNA,Químicos ,Petroquímicos,668.610.000,767.002.000,30/06/2008,35.190.000,"19,00","-52,04","1,68","0,477","0,00%","0,597","20,34","5,75","-3,18","6,59","0,00","8,30%","-0,92%","1,07","11,77%","-3,24%","0,00","396.955.000,00","0,31","4,36%"
LPSB3,ON NM,LOPES BRASIL ON NM,Construção e Engenharia,Intermediação Imobiliária,814.502.000,679.878.000,30/06/2020,147.555.000,"5,52","-51,19","5,07","5,598","0,00%","2,184","7,16","37,02","-18,95","30,90","16,11","15,12%","-3,75%","2,92","9,71%","-9,90%","6.784.490,00","160.774.000,00","0,03","-3,22%"
TOYB4,PN,TEC TOY PN,Viagens e Lazer,Brinquedos e Jogos,75.160.000,76.131.000,31/03/2019,30.064.000,"2,50","-47,96","-5,43","5,256","0,00%","4,405","-6,47","-9,04","-3,83","-9,15","-9,67","-58,16%","-10,96%","0,49","-59,36%","11,31%","0,00","-13.852.000,00","-0,07","-26,99%"
IMBI3,ON,COMPANHIA DOCAS DE IMBITUBA ON,Transporte,Serviços de Apoio e Armazenagem,175.495.000,189.220.000,30/06/2015,35.029.000,"5,01","-46,42","2,81","2.659,020","0,00%","0,518","-2,21","-97,12","-0,37","-104,72","-107,45","-2.737,88%","-13.821,20%","0,05","-0,54%","-6,05%","0,00","62.544.000,00","0,22","-57,16%"
TUPY4,PN,TUPY PN,Material de Transporte,Material Rodoviário,6.950.820.000,8.169.290.000,30/06/2020,144.178.000,"48,21","-45,94","2,93","1,649","0,00%","1,150","4,07","29,39","-12,92","34,55","14,14","5,61%","-3,59%","2,20","5,35%","-6,38%","0,00","2.370.790.000,00","1,05","9,01%"
CLAN4,PN,CLARION PN,Alimentos,Grãos e Derivados,476.109.000,561.899.000,31/12/2012,158.703.000,"3,00","-44,92","0,47","15,151","0,00%","0,406","-15,50","-82,56","-6,36","-97,43","22,68","-18,35%","-33,73%","0,73","-0,50%","-1,05%","0,00","1.012.240.000,00","0,08","-63,96%"
RANI3,ON,CELULOSE IRANI ON,Madeira e Papel,Papel e Celulose,1.198.880.000,1.877.560.000,30/06/2020,256.720.000,"4,67","-44,12","3,24","1,332","0,64%","0,764","10,56","7,93","-1,73","12,42","7,01","16,79%","-3,02%","1,29","10,94%","-7,35%","11.561.800,00","369.771.000,00","2,13","4,98%"
TOYB3,ON,TEC TOY ON,Viagens e Lazer,Brinquedos e Jogos,68.846.600,69.817.600,31/03/2019,30.064.000,"2,29","-43,94","-4,97","4,815","0,00%","4,035","-5,93","-8,28","-3,50","-8,39","-8,87","-58,16%","-10,96%","0,49","-59,36%","11,31%","0,00","-13.852.000,00","-0,07","-26,99%"
EBTP3,ON,EMBRATEL PARTICIPAÇÕES SA ON,Telefonia Fixa,Telefonia Fixa,12.572.200.000,16.562.400.000,30/09/2014,1.231.360.000.000,"10,21","-43,56","1,17","0,548","0,00%","0,353","-502,47","6,42","-0,73","8,46","2,85","8,53%","-1,03%","0,99","6,03%","-2,68%","0,00","10.782.200.000,00","0,39","22,10%"
EBTP4,PN,EMBRATEL PARTICIPAÇÕES SA PN,Telefonia Fixa,Telefonia Fixa,12.313.600.000,16.303.800.000,30/09/2014,1.231.360.000.000,"10,00","-42,66","1,14","0,537","0,00%","0,346","-492,13","6,29","-0,71","8,33","2,81","8,53%","-1,03%","0,99","6,03%","-2,68%","0,00","10.782.200.000,00","0,39","22,10%"
GLOB4,PN,VIAVAREJO PN,Comércio,Eletrodomésticos,48.703.000.000,52.302.000.000,30/06/2020,1.597.340.000,"30,49","-42,02","9,65","1,954","0,00%","1,680","20,28","43,76","-6,49","46,99","25,54","4,47%","-4,65%","1,17","5,86%","-22,96%","0,00","5.049.000.000,00","1,65","7,45%"
FBRA4,PN,FERTIBRÁS S/A PN,,,354.929.000,509.496.000,30/09/2006,10.264.000,"34,58","-39,57","1,66","0,457","0,00%","0,738","18,94","7,40","-4,43","10,62","10,62","6,18%","-1,15%","1,11","11,94%","-4,20%","0,00","213.406.000,00","0,77","12,48%"
BRTP4,PN N1,BRASIL TELECOM PARTICIPAÇÕES S.A. PN N1,Telefonia Fixa,Telefonia Fixa,7.574.200.000,10.849.100.000,30/06/2009,363.969.000,"20,81","-39,19","1,43","0,681","0,00%","0,399","5,23","3,51","-1,40","5,03","5,03","19,37%","-2,96%","1,29","13,41%","-3,64%","0,00","5.302.340.000,00","0,91","3,66%"
RCSL4,PN,RECRUSUL PN,Material de Transporte,Material Rodoviário,121.317.000,120.764.000,30/06/2020,75.823.000,"1,60","-37,99","-1,77","6,252","0,00%","3,195","-10,10","405,74","-1,31","403,89","154,63","1,54%","-16,50%","0,54","0,82%","4,67%","13.361.300,00","-68.396.000,00","-0,00","185,53%"
MOAR3,ON,MONTEIRO ARANHA ON,Holdings Diversificadas,Holdings Diversificadas,2.548.210.000,2.304.180.000,30/06/2020,12.251.000,"208,00","-37,40","2,91","2.843,980","3,34%","1,697","6,88","-53,07","-102,59","-47,98","-48,83","-5.359,38%","-7.771,76%","2,61","-5,03%","-7,78%","38.530,80","876.077.000,00","0,34","-29,83%"
PEAB4,PN,CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA PN,Previdência e Seguros,Seguradoras,803.125.000,701.205.000,30/06/2020,12.850.000,"62,50","-36,91","1,69","7,362","4,35%","1,272","4,03","-58,21","6,52","-50,82","-50,82","-12,65%","-20,21%","3,55","-2,70%","-4,58%","19.701,70","475.574.000,00","0,00","-16,38%"
PEAB3,ON,CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA ON,Previdência e Seguros,Seguradoras,771.000.000,669.080.000,30/06/2020,12.850.000,"60,00","-35,43","1,62","7,067","4,12%","1,221","3,87","-55,88","6,26","-48,49","-48,49","-12,65%","-20,21%","3,55","-2,70%","-4,58%","27.355,80","475.574.000,00","0,00","-16,38%"
ITEC3,ON,ITAUTEC PHILCO SA - GRUPO ITAUTEC PHILCO ON,Computadores e Equipamentos,Computadores e Equipamentos,443.987.000,423.415.000,30/06/2019,11.072.000,"40,10","-35,12","22,04","2.611,690","0,00%","9,216","25,42","-26,00","-68,91","-24,80","-29,56","-10.044,70%","-7.435,88%","5,23","-63,06%","-62,76%","0,00","20.143.000,00","0,00","-74,79%"
MILS3,ON NM,MILLS ON NM,Construção e Engenharia,Construção Civil,1.607.470.000,1.559.520.000,30/06/2020,251.954.000,"6,38","-32,58","1,47","2,712","0,00%","1,100","5,58","-46,77","17,93","-45,38","11,35","-5,80%","-8,32%","2,70","-3,01%","-4,51%","10.938.700,00","1.093.250.000,00","0,22","0,59%"
IMBI4,PN,COMPANHIA DOCAS DE IMBITUBA PN,Transporte,Serviços de Apoio e Armazenagem,122.602.000,136.326.000,30/06/2015,35.029.000,"3,50","-32,43","1,96","1.857,600","0,00%","0,362","-1,54","-67,85","-0,26","-75,44","-77,41","-2.737,88%","-13.821,20%","0,05","-0,54%","-6,05%","0,00","62.544.000,00","0,22","-57,16%"
PRTX3,ON NM,PORTX ON NM,Transporte,Serviços de Apoio e Armazenagem,2.749.100.000,3.651.560.000,30/06/2012,992.456.000,"2,77","-32,27","-145,32","297,651","0,00%","1,400","-2,57","-97,11","-1,43","-128,99","37,19","-306,50%","-922,47%","0,05","-1,50%","450,37%","0,00","-18.917.000,00","-49,85","307,96%"
ECOR3,ON NM,ECORODOVIAS ON NM,Transporte,Exploração de Rodovias,6.240.670.000,13.157.400.000,30/06/2020,558.699.000,"11,17","-31,63","10,14","1,570","0,00%","0,544","-9,39","4,99","-0,69","10,52","7,19","31,45%","-4,96%","0,73","12,70%","-32,06%","55.565.400,00","615.303.000,00","13,72","8,00%"
DFVA3,ON,D F VASCONCELLOS S/A O.M.A.P. ON,,,71.002.800,74.018.800,31/12/2006,7.172.000,"9,90","-31,38","60,69","4,327","0,00%","5,365","29,10","-55,91","-31,47","-58,28","-58,28","-7,74%","-13,79%","1,33","-10,35%","-193,42%","0,00","1.170.000,00","2,84","3,39%"
ASTA4,PN,SANTISTA TÊXTIL S.A. PN,,,516.600.000,861.670.000,30/09/2007,20.000.000,"25,83","-30,79","1,00","0,652","0,00%","0,446","2,57","19,90","-3,30","33,20","33,20","3,28%","-2,12%","1,71","2,52%","-3,25%","0,00","515.672.000,00","0,85","-4,73%"
TELB4,PN,TELEBRAS PN,Telecomunicações,Telecomunicações,1.873.750.000,1.294.170.000,30/06/2020,67.865.000,"27,61","-29,61","1,17","7,600","0,00%","0,439","1,91","-6,92","-1,31","-4,78","-16,29","-109,80%","-25,67%","4,88","-8,13%","-3,94%","585.548,00","1.606.030.000,00","0,18","27,57%"
VGOR4,PN N1,VIGOR PN N1,Alimentos,Laticínios,971.174.000,1.211.800.000,30/09/2008,165.447.000,"5,87","-29,58","7,18","1,229","0,00%","1,468","113,97","27,32","-3,22","34,09","34,09","4,50%","-4,59%","1,04","6,00%","-24,29%","0,00","135.178.000,00","1,89","4,77%"
HBSA3,ON NM,HIDROVIAS ON NM,Transporte,Transporte Hidroviário,5.208.620.000,8.168.650.000,30/06/2020,760.383.000,"6,85","-29,46","3,78","-4,362","0,00%","0,914","4,96","-5,47","-1,86","-8,57","-8,57","79,80%","14,80%","3,22","-21,30%","-12,82%","21.536.600,00","1.378.850.000,00","2,95","112,56%"
CRBM3,ON,CARAÍBA METAIS S.A ON,Siderurgia e Metalurgia,Artefatos de Cobre,2.700.810.000,2.476.940.000,30/09/2009,30.009.000,"90,00","-28,95","3,26","1,498","0,00%","1,172","2,98","-15,45","16,90","-14,17","-14,17","-9,70%","-5,18%","2,24","-12,71%","-11,28%","0,00","827.347.000,00","0,45","-1,58%"
VVAR3,ON,VIAVAREJO ON,Comércio,Eletrodomésticos,32.410.100.000,36.009.100.000,30/06/2020,1.597.340.000,"20,29","-27,96","6,42","1,301","0,00%","1,118","13,49","29,12","-4,32","32,35","17,58","4,47%","-4,65%","1,17","5,86%","-22,96%","1.162.570.000,00","5.049.000.000,00","1,65","7,45%"
MYPK4,PN,IOCHPE-MAXION PN,Material de Transporte,Material Rodoviário,4.886.760.000,8.522.930.000,30/06/2020,153.720.000,"31,79","-27,26","1,30","0,590","0,00%","0,411","6,35","90,44","-1,41","157,74","16,26","0,65%","-1,34%","1,21","0,56%","-4,76%","0,00","3.762.400.000,00","1,34","7,07%"
DFVA4,PN,D F VASCONCELLOS S/A O.M.A.P. PN,,,57.376.000,60.392.000,31/12/2006,7.172.000,"8,00","-25,35","49,04","3,497","0,00%","4,335","23,51","-45,18","-25,43","-47,55","-47,55","-7,74%","-13,79%","1,33","-10,35%","-193,42%","0,00","1.170.000,00","2,84","3,39%"
HBOR3,ON,Helbor ON,Construção e Engenharia,Construção Civil,1.430.870.000,2.357.320.000,30/06/2020,133.851.000,"10,69","-22,79","1,16","1,232","0,00%","0,322","0,65","-39,79","4,34","-65,56","-82,56","-3,10%","-5,52%","3,24","-0,95%","-5,09%","27.813.000,00","1.233.690.000,00","1,24","3,20%"
TAMM4,PN,TAM PN,Transporte,Transporte Aéreo,8.254.780.000,15.217.600.000,31/03/2012,156.548.000,"52,73","-22,74","3,80","0,626","0,00%","0,524","-31,11","9,77","-0,96","18,01","9,66","6,41%","-2,21%","0,95","6,36%","-16,70%","0,00","2.174.310.000,00","4,08","9,79%"
TAMM3,ON,TAM ON,Transporte,Transporte Aéreo,8.234.420.000,15.197.300.000,31/03/2012,156.548.000,"52,60","-22,68","3,79","0,625","0,00%","0,523","-31,04","9,74","-0,96","17,98","9,65","6,41%","-2,21%","0,95","6,36%","-16,70%","0,00","2.174.310.000,00","4,08","9,79%"
PRNR3,ON NM,PRINER ON NM,Serviços,Serviços Diversos,373.928.000,303.497.000,30/06/2020,38.749.000,"9,65","-21,26","1,71","1,278","0,00%","1,082","2,11","-45,81","3,13","-37,18","24,77","-2,79%","-7,93%","3,56","-4,30%","-8,03%","1.704.160,00","219.095.000,00","0,36","0,34%"
DTCY3,ON,DTCOM ON,Serviços,Serviços Diversos,57.950.200,58.016.200,30/06/2020,7.789.000,"7,44","-20,65","8,17","3,045","0,00%","1,920","-10,65","73,54","-4,21","73,62","12,99","4,14%","-14,74%","0,63","3,28%","-39,57%","46.535,30","7.092.000,00","0,53","6,41%"
