papel,tipo,empresa,setor,sub_setor,valor_de_mercado,valor_da_firma,ultimo_balanco,numero_de_acoes,ultima_cotacao,pl,p_vp,psr,div_yeld,p_ativo,p_cap_giro,p_ebit,p_ativo_circ_liq,ev_ebit,ev_ebitda,mrg_ebit,mrg_liq,liq_corr,roic,roe,liq_2_meses,patrim_liq,div_brut_patrim,cresc_rec_5a
MTSA4,PN,METISA PN,Máquinas e Equipamentos,Máqs. e Equips. Construção e Agrícolas,243.874.000,208.157.000,30/06/2020,9.137.260,"26,69","6,13","0,90","0,796","3,00%","0,638","1,26","10,82","1,35","9,23","6,51","7,36%","12,99%","2,96","7,74%","14,66%","158.991,00","271.320.000,00","0,16","9,93%"
CRPG6,PNB,CRISTAL PNB,Químicos ,Químicos Diversos,623.038.000,508.804.000,30/06/2020,29.019.000,"21,47","6,15","1,03","1,212","0,65%","0,739","1,11","10,11","1,45","8,26","5,94","11,98%","19,69%","6,48","8,85%","16,73%","149.997,00","605.213.000,00","0,01","16,64%"
EKTR3,ON,ELEKTRO ELETRICIDADE E SERVIÇOS S.A. ON,Energia Elétrica,Energia Elétrica,4.262.700.000,7.546.700.000,30/09/2020,193.759.000,"22,00","6,35","1,41","0,511","0,00%","0,451","13,58","3,10","-1,40","5,49","4,70","16,47%","8,05%","1,10","17,88%","22,15%","12.898,70","3.032.000.000,00","1,47","9,81%"
HAGA4,ON,HAGA ON,Construção e Engenharia,Materiais de Construção,23.205.000,24.701.500,30/06/2020,11.900.000,"1,95","6,39","-0,30","1,070","0,00%","0,413","1,09","-20,35","-0,26","-21,66","46,06","-5,26%","16,74%","1,86","-6,33%","-4,69%","143.518,00","-77.360.400,00","-0,50","-5,45%"
MRFG3,ON NM,Marfrig ON NM,Alimentos,Carnes e Derivados,10.421.600.000,28.462.100.000,30/06/2020,711.370.000,"14,65","6,58","28,38","0,176","0,00%","0,283","2,51","1,46","-0,56","3,99","3,39","12,03%","5,41%","1,37","27,39%","431,39%","186.921.000,00","367.249.000,00","71,38","38,62%"
SAPR11,UNT N2,SANEPAR UNT N2,Água e Saneamento,Água e Saneamento,7.719.240.000,10.497.400.000,30/06/2020,1.511.210.000,"25,54","6,60","1,19","1,569","4,03%","0,602","22,03","3,89","-1,69","5,29","4,50","40,33%","23,78%","1,25","16,91%","18,03%","60.819.300,00","6.489.710.000,00","0,56","10,41%"
SAPR4,PN,SANEPAR PN,Água e Saneamento,Água e Saneamento,7.752.480.000,10.530.700.000,30/06/2020,1.511.210.000,"5,13","6,62","1,19","1,575","4,08%","0,605","22,12","3,91","-1,70","5,31","4,52","40,33%","23,78%","1,25","16,91%","18,03%","16.684.900,00","6.489.710.000,00","0,56","10,41%"
CIQU3,ON,CACIQUE ON,Alimentos,Café,311.601.000,550.260.000,30/09/2014,24.948.000,"12,49","6,63","1,05","0,413","0,00%","0,515","3,33","4,25","7,55","7,50","5,23","9,72%","6,22%","1,36","12,70%","15,87%","0,00","296.175.000,00","0,84","16,23%"
CIQU4,PN,CACIQUE PN,Alimentos,Café,311.601.000,550.260.000,30/09/2014,24.948.000,"12,49","6,63","1,05","0,413","0,00%","0,515","3,33","4,25","7,55","7,50","5,23","9,72%","6,22%","1,36","12,70%","15,87%","0,00","296.175.000,00","0,84","16,23%"
SAPR3,ON,SANEPAR ON,Água e Saneamento,Água e Saneamento,7.767.600.000,10.545.800.000,30/06/2020,1.511.210.000,"5,14","6,64","1,20","1,578","3,70%","0,606","22,17","3,91","-1,70","5,31","4,52","40,33%","23,78%","1,25","16,91%","18,03%","1.495.520,00","6.489.710.000,00","0,56","10,41%"
CRPG5,PNA,CRISTAL PNA,Químicos ,Químicos Diversos,677.594.000,563.360.000,30/06/2020,29.019.000,"23,35","6,69","1,12","1,318","0,60%","0,804","1,20","11,00","1,58","9,14","6,57","11,98%","19,69%","6,48","8,85%","16,73%","254.440,00","605.213.000,00","0,01","16,64%"
TRPL4,PN N1,TRANSMISSÃO PAULISTA PN N1,Energia Elétrica,Energia Elétrica,15.088.400.000,17.335.800.000,30/06/2020,658.883.000,"22,90","6,79","1,17","3,833","5,80%","0,673","4,82","5,56","-3,64","6,39","6,35","68,88%","57,10%","2,71","13,29%","17,16%","34.015.300,00","12.947.300.000,00","0,32","14,59%"
BMEB3,ON,BANCO MERCANTIL DO BRASIL S/A ON,Financeiros,Bancos,985.421.000,-,30/06/2020,52.416.000,"18,80","6,90","1,03","0,000","3,32%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,96%","29.727,00","955.021.000,00","0,00","6,84%"
CESP3,ON,CESP CIA ENERGETICA SAO PAULO ON,Energia Elétrica,Energia Elétrica,10.480.100.000,11.487.300.000,30/06/2020,327.503.000,"32,00","6,91","1,46","5,844","5,78%","0,819","25,13","16,22","-2,35","17,77","10,89","36,04%","84,58%","1,56","5,39%","21,14%","97.416,30","7.176.750.000,00","0,25","-4,60%"
ELET5,PNA,ELETROBRÁS PNA,Energia Elétrica,Energia Elétrica,59.776.300.000,93.880.600.000,30/06/2020,1.568.930.000,"38,10","6,94","0,79","1,829","0,00%","0,325","2,84","4,45","-0,99","7,00","6,14","41,06%","26,74%","1,80","8,20%","11,36%","8.820,77","75.808.300.000,00","0,68","-17,15%"
